# RA DEC XI ETA F475W F814W V VERR
11.191 41.615 0.379 0.347 23.867 21.648 -685.306 4.499 
11.149 41.617 0.348 0.348 24.029 20.706 -158.35 1.242 
11.119 41.634 0.326 0.366 23.901 21.343 -116.525 2.781 
11.088 41.642 0.302 0.374 23.716 21.582 -66.536 2.574 
11.082 41.648 0.298 0.38 24.053 21.823 -304.273 7.662 
11.152 41.611 0.35 0.343 24.049 21.583 -105.724 4.473 
11.055 41.628 0.277 0.359 23.685 20.797 -421.367 1.208 
11.113 41.637 0.321 0.368 23.374 21.087 -418.968 2.834 
11.059 41.631 0.281 0.363 23.892 21.346 -115.922 2.165 
11.211 41.614 0.395 0.346 23.746 20.625 -216.207 1.16 
11.231 41.617 0.41 0.349 23.622 20.729 -346.521 1.76 
11.23 41.617 0.409 0.349 23.784 20.97 -165.253 2.487 
11.212 41.633 0.396 0.365 23.204 20.695 -381.799 2.415 
11.233 41.632 0.411 0.364 23.751 20.828 -494.191 1.533 
11.207 41.625 0.392 0.357 23.758 20.942 -361.271 2.583 
11.206 41.636 0.391 0.368 23.938 21.069 -178.769 1.191 
11.229 41.626 0.408 0.358 23.912 21.663 -459.098 3.651 
11.209 41.655 0.393 0.387 24.138 21.661 -30.573 4.341 
11.209 41.655 0.393 0.387 25.199 21.797 -49.818 4.064 
11.221 41.634 0.402 0.366 23.81 21.729 -250.599 5.145 
11.153 41.648 0.351 0.38 23.537 20.913 -118.53 1.729 
11.153 41.648 0.351 0.38 24.917 21.798 -148.586 3.706 
11.182 41.671 0.373 0.402 23.561 20.875 -259.255 2.018 
11.163 41.625 0.358 0.357 23.543 21.084 -269.581 2.227 
11.156 41.658 0.353 0.389 23.598 20.996 -175.405 1.32 
11.184 41.651 0.374 0.383 23.552 21.283 -250.931 2.613 
11.181 41.652 0.372 0.384 23.777 21.496 -93.234 1.973 
11.18 41.652 0.371 0.384 24.936 22.392 45.094 4.69 
11.186 41.661 0.375 0.393 24.162 21.87 -186.616 4.869 
11.136 41.658 0.338 0.39 23.772 20.831 -245.64 1.486 
11.135 41.658 0.338 0.39 25.638 22.251 -37.264 16.731 
11.085 41.659 0.3 0.39 23.407 21.106 39.074 2.013 
